tournament_year,team_id,team_name,team_code,count_matches,performance
1930,T-03,Argentina,ARG,5,final
1930,T-06,Belgium,BEL,2,group stage
1930,T-07,Bolivia,BOL,2,group stage
1930,T-09,Brazil,BRA,2,group stage
1930,T-13,Chile,CHL,3,group stage
1930,T-30,France,FRA,3,group stage
1930,T-46,Mexico,MEX,3,group stage
1930,T-55,Paraguay,PRY,2,group stage
1930,T-56,Peru,PER,2,group stage
1930,T-61,Romania,ROU,2,group stage
1930,T-83,United States,USA,3,semi-finals
1930,T-84,Uruguay,URY,4,final
1930,T-87,Yugoslavia,YUG,3,semi-finals
1934,T-03,Argentina,ARG,1,round of 16
1934,T-05,Austria,AUT,4,third-place match
1934,T-06,Belgium,BEL,1,round of 16
1934,T-09,Brazil,BRA,1,round of 16
1934,T-21,Czechoslovakia,CSK,4,final
1934,T-26,Egypt,EGY,1,round of 16
1934,T-30,France,FRA,1,round of 16
1934,T-31,Germany,DEU,4,third-place match
1934,T-36,Hungary,HUN,2,quarter-finals
1934,T-41,Italy,ITA,5,final
1934,T-48,Netherlands,NLD,1,round of 16
1934,T-61,Romania,ROU,1,round of 16
1934,T-73,Spain,ESP,3,quarter-finals
1934,T-74,Sweden,SWE,2,quarter-finals
1934,T-75,Switzerland,CHE,2,quarter-finals
1934,T-83,United States,USA,1,round of 16
1938,T-06,Belgium,BEL,1,round of 16
1938,T-09,Brazil,BRA,5,third-place match
1938,T-19,Cuba,CUB,3,quarter-finals
1938,T-21,Czechoslovakia,CSK,3,quarter-finals
1938,T-23,Dutch East Indies,IDN,1,round of 16
1938,T-30,France,FRA,2,quarter-finals
1938,T-31,Germany,DEU,2,round of 16
1938,T-36,Hungary,HUN,4,final
1938,T-41,Italy,ITA,4,final
1938,T-48,Netherlands,NLD,1,round of 16
1938,T-53,Norway,NOR,1,round of 16
1938,T-57,Poland,POL,1,round of 16
1938,T-61,Romania,ROU,2,round of 16
1938,T-74,Sweden,SWE,3,third-place match
1938,T-75,Switzerland,CHE,3,quarter-finals
1950,T-07,Bolivia,BOL,1,group stage
1950,T-09,Brazil,BRA,6,final round
1950,T-13,Chile,CHL,3,group stage
1950,T-28,England,ENG,3,group stage
1950,T-41,Italy,ITA,2,group stage
1950,T-46,Mexico,MEX,3,group stage
1950,T-55,Paraguay,PRY,2,group stage
1950,T-73,Spain,ESP,6,final round
1950,T-74,Sweden,SWE,5,final round
1950,T-75,Switzerland,CHE,3,group stage
1950,T-83,United States,USA,3,group stage
1950,T-84,Uruguay,URY,4,final round
1950,T-87,Yugoslavia,YUG,3,group stage
1954,T-05,Austria,AUT,5,third-place match
1954,T-06,Belgium,BEL,2,group stage
1954,T-09,Brazil,BRA,3,quarter-finals
1954,T-21,Czechoslovakia,CSK,2,group stage
1954,T-28,England,ENG,3,quarter-finals
1954,T-30,France,FRA,2,group stage
1954,T-36,Hungary,HUN,5,final
1954,T-41,Italy,ITA,3,group stage
1954,T-46,Mexico,MEX,2,group stage
1954,T-64,Scotland,SCO,2,group stage
1954,T-71,South Korea,KOR,2,group stage
1954,T-75,Switzerland,CHE,4,quarter-finals
1954,T-80,Turkey,TUR,3,group stage
1954,T-84,Uruguay,URY,5,third-place match
1954,T-86,West Germany,DEU,6,final
1954,T-87,Yugoslavia,YUG,3,quarter-finals
1958,T-03,Argentina,ARG,3,group stage
1958,T-05,Austria,AUT,3,group stage
1958,T-09,Brazil,BRA,6,final
1958,T-21,Czechoslovakia,CSK,4,group stage
1958,T-28,England,ENG,4,group stage
1958,T-30,France,FRA,6,third-place match
