tournament_year,team_id,team_name,team_code,count_matches,performance,top_scorer,top_scorer_goals
1930,T-03,Argentina,ARG,5,Runner-up,Guillermo Stábile,8
1930,T-06,Belgium,BEL,2,Group stage,No goals scored,0
1930,T-07,Bolivia,BOL,2,Group stage,No goals scored,0
1930,T-09,Brazil,BRA,2,Group stage,Preguinho,3
1930,T-13,Chile,CHL,3,Group stage,2 players tied,2
1930,T-30,France,FRA,3,Group stage,André Maschinot,2
1930,T-46,Mexico,MEX,3,Group stage,Manuel Rosas,2
1930,T-55,Paraguay,PRY,2,Group stage,Luis Peña,1
1930,T-56,Peru,PER,2,Group stage,Luis de Souza,1
1930,T-61,Romania,ROU,2,Group stage,3 players tied,1
1930,T-83,United States,USA,3,Semi-finals,Bert Patenaude,4
1930,T-84,Uruguay,URY,4,Champion,Pedro Cea,5
1930,T-87,Yugoslavia,YUG,3,Semi-finals,Ivan Bek,3
1934,T-03,Argentina,ARG,1,Round of 16,2 players tied,1
1934,T-05,Austria,AUT,4,Semi-finals,Johann Horvath,2
1934,T-06,Belgium,BEL,1,Round of 16,Bernard Voorhoof,2
1934,T-09,Brazil,BRA,1,Round of 16,Leônidas,1
1934,T-21,Czechoslovakia,CSK,4,Runner-up,Oldřich Nejedlý,5
1934,T-26,Egypt,EGY,1,Round of 16,Abdelrahman Fawzy,2
1934,T-30,France,FRA,1,Round of 16,2 players tied,1
1934,T-31,Germany,DEU,4,Third place,Edmund Conen,4
1934,T-36,Hungary,HUN,2,Quarter-finals,Géza Toldi,2
1934,T-41,Italy,ITA,5,Champion,Angelo Schiavio,4
1934,T-48,Netherlands,NLD,1,Round of 16,2 players tied,1
1934,T-61,Romania,ROU,1,Round of 16,Ștefan Dobay,1
1934,T-73,Spain,ESP,3,Quarter-finals,José Iraragorri,2
1934,T-74,Sweden,SWE,2,Quarter-finals,Sven Jonasson,2
1934,T-75,Switzerland,CHE,2,Quarter-finals,Leopold Kielholz,3
1934,T-83,United States,USA,1,Round of 16,Aldo Donelli,1
1938,T-06,Belgium,BEL,1,Round of 16,Hendrik Isemborghs,1
1938,T-09,Brazil,BRA,5,Third place,Leônidas,7
1938,T-19,Cuba,CUB,3,Quarter-finals,Héctor Socorro,3
